OSU_RTS.MDBUS_C1.148_CDT Time [SNAP],OSU_RTS.MDBUS_C1.148_CDT Value [SNAP],OSU_RTS.MDBUS_C1.148_CDT Status [SNAP],OSU_RTS.MDBUS_C1.148_CHF Time [SNAP],OSU_RTS.MDBUS_C1.148_CHF Value [SNAP],OSU_RTS.MDBUS_C1.148_CHF Status [SNAP],OSU_RTS.MDBUS_C1.148_CHT Time [SNAP],OSU_RTS.MDBUS_C1.148_CHT Value [SNAP],OSU_RTS.MDBUS_C1.148_CHT Status [SNAP],OSU_RTS.MDBUS_C1.148_CRWT Time [SNAP],OSU_RTS.MDBUS_C1.148_CRWT Value [SNAP],OSU_RTS.MDBUS_C1.148_CRWT Status [SNAP],OSU_RTS.MDBUS_C1.148_CSWT Time [SNAP],OSU_RTS.MDBUS_C1.148_CSWT Value [SNAP],OSU_RTS.MDBUS_C1.148_CSWT Status [SNAP],OSU_RTS.MDBUS_C1.148_CVF Time [SNAP],OSU_RTS.MDBUS_C1.148_CVF Value [SNAP],OSU_RTS.MDBUS_C1.148_CVF Status [SNAP],OSU_RTS.MDBUS_C1.148_HF Time [SNAP],OSU_RTS.MDBUS_C1.148_HF Value [SNAP],OSU_RTS.MDBUS_C1.148_HF Status [SNAP],OSU_RTS.MDBUS_C1.148_HGT Time [SNAP],OSU_RTS.MDBUS_C1.148_HGT Value [SNAP],OSU_RTS.MDBUS_C1.148_HGT Status [SNAP],OSU_RTS.MDBUS_CC.148_MHT Time [SNAP],OSU_RTS.MDBUS_CC.148_MHT Value [SNAP],OSU_RTS.MDBUS_CC.148_MHT Status [SNAP],OSU_RTS.MDBUS_CC.148_PHT Time [SNAP],OSU_RTS.MDBUS_CC.148_PHT Value [SNAP],OSU_RTS.MDBUS_CC.148_PHT Status [SNAP],OSU_RTS.MDBUS_E1.148E1_C Time [SNAP],OSU_RTS.MDBUS_E1.148E1_C Value [SNAP],OSU_RTS.MDBUS_E1.148E1_C Status [SNAP],OSU_RTS.MDBUS_E1.148E2_C Time [SNAP],OSU_RTS.MDBUS_E1.148E2_C Value [SNAP],OSU_RTS.MDBUS_E1.148E2_C Status [SNAP],OSU_RTS.MDBUS_G1.148_GBV Time [SNAP],OSU_RTS.MDBUS_G1.148_GBV Value [SNAP],OSU_RTS.MDBUS_G1.148_GBV Status [SNAP],OSU_RTS.MDBUS_G1.148_GUV Time [SNAP],OSU_RTS.MDBUS_G1.148_GUV Value [SNAP],OSU_RTS.MDBUS_G1.148_GUV Status [SNAP],OSU_RTS.MDBUS_RT.148S_C Time [SNAP],OSU_RTS.MDBUS_RT.148S_C Value [SNAP],OSU_RTS.MDBUS_RT.148S_C Status [SNAP],OSU_RTS.MDBUS_RT.148S_HF Time [SNAP],OSU_RTS.MDBUS_RT.148S_HF Value [SNAP],OSU_RTS.MDBUS_RT.148S_HF Status [SNAP],OSU_RTS.MDBUS_RT.148S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.148S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.148S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.148S_I Time [SNAP],OSU_RTS.MDBUS_RT.148S_I Value [SNAP],OSU_RTS.MDBUS_RT.148S_I Status [SNAP],OSU_RTS.MDBUS_RT.148S_P Time [SNAP],OSU_RTS.MDBUS_RT.148S_P Value [SNAP],OSU_RTS.MDBUS_RT.148S_P Status [SNAP],OSU_RTS.MDBUS_RT.148S_T Time [SNAP],OSU_RTS.MDBUS_RT.148S_T Value [SNAP],OSU_RTS.MDBUS_RT.148S_T Status [SNAP],Comments
10/15/18 2:30,7.105323792,OK,10/15/18 2:30,163.9268188,OK,10/15/18 2:30,21107258,OK,10/15/18 2:30,48.30339432,OK,10/15/18 2:30,41.19807434,OK,10/15/18 2:30,551.2833862,OK,10/15/18 2:30,1967.121826,OK,10/15/18 2:30,253287096,OK,,,,,,,10/15/18 2:30,5308982,OK,10/15/18 2:30,9328799,OK,10/15/18 2:30,5.830000401,OK,10/15/18 2:30,5280,OK,10/15/18 2:30,225110.7969,OK,10/15/18 2:30,2.889009476,OK,10/15/18 2:30,292856.875,OK,10/15/18 2:30,2.232193604,OK,10/15/18 2:30,181.0350189,OK,10/15/18 2:30,545.6898804,OK,
10/15/18 2:45,5.973444939,OK,10/15/18 2:45,132.8501434,OK,10/15/18 2:45,21107300,OK,10/15/18 2:45,47.04058075,OK,10/15/18 2:45,41.06713867,OK,10/15/18 2:45,531.2514648,OK,10/15/18 2:45,1594.201721,OK,10/15/18 2:45,253287600,OK,,,,,,,10/15/18 2:45,5309071,OK,10/15/18 2:45,9328883,OK,10/15/18 2:45,5.830000401,OK,10/15/18 2:45,5280,OK,10/15/18 2:45,225111.5156,OK,10/15/18 2:45,4.65353632,OK,10/15/18 2:45,292857.8125,OK,10/15/18 2:45,3.595987793,OK,10/15/18 2:45,180.8591766,OK,10/15/18 2:45,545.3727417,OK,
10/15/18 3:00,7.713794708,OK,10/15/18 3:00,177.759964,OK,10/15/18 3:00,21107344,OK,10/15/18 3:00,48.75889969,OK,10/15/18 3:00,41.04510498,OK,10/15/18 3:00,550.6845093,OK,10/15/18 3:00,2133.119568,OK,10/15/18 3:00,253288128,OK,,,,,,,10/15/18 3:00,5309165,OK,10/15/18 3:00,9328967,OK,10/15/18 3:00,5.830000401,OK,10/15/18 3:00,5280,OK,10/15/18 3:00,225112.1875,OK,10/15/18 3:00,3.533275127,OK,10/15/18 3:00,292858.6563,OK,10/15/18 3:00,2.73191748,OK,10/15/18 3:00,182.0855103,OK,10/15/18 3:00,544.1811523,OK,
10/15/18 3:15,7.989628315,OK,10/15/18 3:15,172.1480713,OK,10/15/18 3:15,21107388,OK,10/15/18 3:15,49.18512726,OK,10/15/18 3:15,41.19549942,OK,10/15/18 3:15,514.9364624,OK,10/15/18 3:15,2065.776855,OK,10/15/18 3:15,253288656,OK,,,,,,,10/15/18 3:15,5309255,OK,10/15/18 3:15,9329051,OK,10/15/18 3:15,5.830000401,OK,10/15/18 3:15,5280,OK,10/15/18 3:15,225112.9219,OK,10/15/18 3:15,5.432271481,OK,10/15/18 3:15,292859.625,OK,10/15/18 3:15,4.196212891,OK,10/15/18 3:15,180.2363129,OK,10/15/18 3:15,546.1419678,OK,
10/15/18 3:30,9.766669273,OK,10/15/18 3:30,198.1707611,OK,10/15/18 3:30,21107432,OK,10/15/18 3:30,50.73389435,OK,10/15/18 3:30,40.96722412,OK,10/15/18 3:30,485.0091858,OK,10/15/18 3:30,2378.049133,OK,10/15/18 3:30,253289184,OK,,,,,,,10/15/18 3:30,5309348,OK,10/15/18 3:30,9329135,OK,10/15/18 3:30,5.830000401,OK,10/15/18 3:30,5280,OK,10/15/18 3:30,225113.6094,OK,10/15/18 3:30,3.010514498,OK,10/15/18 3:30,292860.5,OK,10/15/18 3:30,2.32794751,OK,10/15/18 3:30,182.0172577,OK,10/15/18 3:30,543.9367676,OK,
10/15/18 3:45,9.344203949,OK,10/15/18 3:45,189.1493073,OK,10/15/18 3:45,21107482,OK,10/15/18 3:45,50.94880676,OK,10/15/18 3:45,41.60460281,OK,10/15/18 3:45,483.9163818,OK,10/15/18 3:45,2269.791687,OK,10/15/18 3:45,253289784,OK,,,,,,,10/15/18 3:45,5309442,OK,10/15/18 3:45,9329218,OK,10/15/18 3:45,5.830000401,OK,10/15/18 3:45,5280,OK,10/15/18 3:45,225114.3281,OK,10/15/18 3:45,2.973323822,OK,10/15/18 3:45,292861.4375,OK,10/15/18 3:45,2.297582275,OK,10/15/18 3:45,182.0778198,OK,10/15/18 3:45,545.612854,OK,
10/15/18 4:00,10.12750149,OK,10/15/18 4:00,206.3779297,OK,10/15/18 4:00,21107528,OK,10/15/18 4:00,51.22225571,OK,10/15/18 4:00,41.09475327,OK,10/15/18 4:00,487.1345825,OK,10/15/18 4:00,2476.535156,OK,10/15/18 4:00,253290336,OK,,,,,,,10/15/18 4:00,5309530,OK,10/15/18 4:00,9329302,OK,10/15/18 4:00,5.830000401,OK,10/15/18 4:00,5280,OK,10/15/18 4:00,225115.1094,OK,10/15/18 4:00,2.943036556,OK,10/15/18 4:00,292862.4375,OK,10/15/18 4:00,2.272353271,OK,10/15/18 4:00,181.1138153,OK,10/15/18 4:00,547.3704834,OK,
10/15/18 4:15,10.29069901,OK,10/15/18 4:15,208.9601593,OK,10/15/18 4:15,21107580,OK,10/15/18 4:15,51.27182007,OK,10/15/18 4:15,40.98111725,OK,10/15/18 4:15,485.4026489,OK,10/15/18 4:15,2507.521912,OK,10/15/18 4:15,253290960,OK,,,,,,,10/15/18 4:15,5309624,OK,10/15/18 4:15,9329386,OK,10/15/18 4:15,5.830000401,OK,10/15/18 4:15,5280,OK,10/15/18 4:15,225115.8281,OK,10/15/18 4:15,3.72372365,OK,10/15/18 4:15,292863.375,OK,10/15/18 4:15,2.87722998,OK,10/15/18 4:15,180.0467987,OK,10/15/18 4:15,545.444397,OK,
10/15/18 4:30,9.765238762,OK,10/15/18 4:30,196.5415039,OK,10/15/18 4:30,21107630,OK,10/15/18 4:30,50.83049011,OK,10/15/18 4:30,41.06525421,OK,10/15/18 4:30,481.1044006,OK,10/15/18 4:30,2358.498047,OK,10/15/18 4:30,253291560,OK,,,,,,,10/15/18 4:30,5309713,OK,10/15/18 4:30,9329470,OK,10/15/18 4:30,5.830000401,OK,10/15/18 4:30,5280,OK,10/15/18 4:30,225116.6094,OK,10/15/18 4:30,3.604015827,OK,10/15/18 4:30,292864.375,OK,10/15/18 4:30,2.782460938,OK,10/15/18 4:30,181.8208771,OK,10/15/18 4:30,547.6936646,OK,
10/15/18 4:45,10.98571873,OK,10/15/18 4:45,226.595993,OK,10/15/18 4:45,21107684,OK,10/15/18 4:45,52.14176941,OK,10/15/18 4:45,41.15605164,OK,10/15/18 4:45,493.1213989,OK,10/15/18 4:45,2719.151917,OK,10/15/18 4:45,253292208,OK,,,,,,,10/15/18 4:45,5309807,OK,10/15/18 4:45,9329555,OK,10/15/18 4:45,5.830000401,OK,10/15/18 4:45,5280,OK,10/15/18 4:45,225117.2344,OK,10/15/18 4:45,3.321416855,OK,10/15/18 4:45,292865.1875,OK,10/15/18 4:45,2.569006836,OK,10/15/18 4:45,181.0928802,OK,10/15/18 4:45,543.1789551,OK,
10/15/18 5:00,10.77263451,OK,10/15/18 5:00,222.2399445,OK,10/15/18 5:00,21107740,OK,10/15/18 5:00,51.89754486,OK,10/15/18 5:00,41.12490845,OK,10/15/18 5:00,493.1951599,OK,10/15/18 5:00,2666.879333,OK,10/15/18 5:00,253292880,OK,,,,,,,10/15/18 5:00,5309901,OK,10/15/18 5:00,9329639,OK,10/15/18 5:00,5.830000401,OK,10/15/18 5:00,5280,OK,10/15/18 5:00,225117.9375,OK,10/15/18 5:00,3.296954632,OK,10/15/18 5:00,292866.0938,OK,10/15/18 5:00,2.549401123,OK,10/15/18 5:00,181.3115082,OK,10/15/18 5:00,543.8568115,OK,
10/15/18 5:15,10.3740406,OK,10/15/18 5:15,218.363678,OK,10/15/18 5:15,21107792,OK,10/15/18 5:15,51.60622025,OK,10/15/18 5:15,41.23217773,OK,10/15/18 5:15,503.2057495,OK,10/15/18 5:15,2620.364136,OK,10/15/18 5:15,253293504,OK,,,,,,,10/15/18 5:15,5309995,OK,10/15/18 5:15,9329723,OK,10/15/18 5:15,5.830000401,OK,10/15/18 5:15,5280,OK,10/15/18 5:15,225118.6094,OK,10/15/18 5:15,3.609800339,OK,10/15/18 5:15,292866.9688,OK,10/15/18 5:15,2.792106934,OK,10/15/18 5:15,181.0956421,OK,10/15/18 5:15,543.1409912,OK,
10/15/18 5:30,11.80415916,OK,10/15/18 5:30,233.9278717,OK,10/15/18 5:30,21107852,OK,10/15/18 5:30,52.90188599,OK,10/15/18 5:30,41.09772491,OK,10/15/18 5:30,473.8059998,OK,10/15/18 5:30,2807.13446,OK,10/15/18 5:30,253294224,OK,,,,,,,10/15/18 5:30,5310090,OK,10/15/18 5:30,9329808,OK,10/15/18 5:30,5.830000401,OK,10/15/18 5:30,5280,OK,10/15/18 5:30,225119.3438,OK,10/15/18 5:30,3.004616499,OK,10/15/18 5:30,292867.9063,OK,10/15/18 5:30,2.321615967,OK,10/15/18 5:30,181.4033661,OK,10/15/18 5:30,545.6512451,OK,
10/15/18 5:45,13.00815582,OK,10/15/18 5:45,255.5382843,OK,10/15/18 5:45,21107912,OK,10/15/18 5:45,53.88086319,OK,10/15/18 5:45,40.87270737,OK,10/15/18 5:45,469.7438049,OK,10/15/18 5:45,3066.459412,OK,10/15/18 5:45,253294944,OK,,,,,,,10/15/18 5:45,5310184,OK,10/15/18 5:45,9329893,OK,10/15/18 5:45,5.830000401,OK,10/15/18 5:45,5280,OK,10/15/18 5:45,225120.1094,OK,10/15/18 5:45,3.741931438,OK,10/15/18 5:45,292868.9063,OK,10/15/18 5:45,2.888343506,OK,10/15/18 5:45,181.3427277,OK,10/15/18 5:45,548.1053467,OK,
10/15/18 6:00,12.77394581,OK,10/15/18 6:00,250.7051086,OK,10/15/18 6:00,21107976,OK,10/15/18 6:00,54.0577774,OK,10/15/18 6:00,41.28382874,OK,10/15/18 6:00,469.1488953,OK,10/15/18 6:00,3007.160339,OK,10/15/18 6:00,253295712,OK,,,,,,,10/15/18 6:00,5310278,OK,10/15/18 6:00,9329978,OK,10/15/18 6:00,5.830000401,OK,10/15/18 6:00,5280,OK,10/15/18 6:00,225120.9063,OK,10/15/18 6:00,3.128830671,OK,10/15/18 6:00,292869.9375,OK,10/15/18 6:00,2.413656494,OK,10/15/18 6:00,181.3558807,OK,10/15/18 6:00,549.5354614,OK,
10/15/18 6:15,14.00228024,OK,10/15/18 6:15,262.0608826,OK,10/15/18 6:15,21108040,OK,10/15/18 6:15,55.30154419,OK,10/15/18 6:15,41.29926682,OK,10/15/18 6:15,447.6800842,OK,10/15/18 6:15,3144.730591,OK,10/15/18 6:15,253296480,OK,,,,,,,10/15/18 6:15,5310373,OK,10/15/18 6:15,9330063,OK,10/15/18 6:15,5.830000401,OK,10/15/18 6:15,5280,OK,10/15/18 6:15,225121.625,OK,10/15/18 6:15,4.192860126,OK,10/15/18 6:15,292870.875,OK,10/15/18 6:15,3.236796387,OK,10/15/18 6:15,181.1044464,OK,10/15/18 6:15,547.7791748,OK,
10/15/18 6:30,14.95153618,OK,10/15/18 6:30,277.0852356,OK,10/15/18 6:30,21108104,OK,10/15/18 6:30,56.11712646,OK,10/15/18 6:30,41.16559219,OK,10/15/18 6:30,443.3449707,OK,10/15/18 6:30,3325.022827,OK,10/15/18 6:30,253297248,OK,,,,,,,10/15/18 6:30,5310468,OK,10/15/18 6:30,9330148,OK,10/15/18 6:30,5.830000401,OK,10/15/18 6:30,5280,OK,10/15/18 6:30,225122.4219,OK,10/15/18 6:30,3.382553577,OK,10/15/18 6:30,292871.9063,OK,10/15/18 6:30,2.60838501,OK,10/15/18 6:30,180.3990021,OK,10/15/18 6:30,550.3015747,OK,
10/15/18 6:45,15.94906616,OK,10/15/18 6:45,273.2828979,OK,10/15/18 6:45,21108174,OK,10/15/18 6:45,56.51804352,OK,10/15/18 6:45,40.56897736,OK,10/15/18 6:45,409.9035645,OK,10/15/18 6:45,3279.394775,OK,10/15/18 6:45,253298088,OK,,,,,,,10/15/18 6:45,5310563,OK,10/15/18 6:45,9330233,OK,10/15/18 6:45,5.830000401,OK,10/15/18 6:45,5280,OK,10/15/18 6:45,225123.1875,OK,10/15/18 6:45,3.50007534,OK,10/15/18 6:45,292872.9063,OK,10/15/18 6:45,2.698775635,OK,10/15/18 6:45,181.4620514,OK,10/15/18 6:45,550.6963501,OK,
10/15/18 7:00,15.94766808,OK,10/15/18 7:00,266.65448,OK,10/15/18 7:00,21108244,OK,10/15/18 7:00,56.94495392,OK,10/15/18 7:00,40.99728775,OK,10/15/18 7:00,400.1651611,OK,10/15/18 7:00,3199.85376,OK,10/15/18 7:00,253298928,OK,,,,,,,10/15/18 7:00,5310657,OK,10/15/18 7:00,9330319,OK,10/15/18 7:00,5.830000401,OK,10/15/18 7:00,5280,OK,10/15/18 7:00,225123.9531,OK,10/15/18 7:00,4.316530228,OK,10/15/18 7:00,292873.875,OK,10/15/18 7:00,3.3286521,OK,10/15/18 7:00,180.6067657,OK,10/15/18 7:00,550.2991943,OK,
10/15/18 7:15,16.26351929,OK,10/15/18 7:15,226.3904724,OK,10/15/18 7:15,21108308,OK,10/15/18 7:15,57.42831421,OK,10/15/18 7:15,41.16479492,OK,10/15/18 7:15,333.0726013,OK,10/15/18 7:15,2716.685669,OK,10/15/18 7:15,253299696,OK,,,,,,,10/15/18 7:15,5310754,OK,10/15/18 7:15,9330405,OK,10/15/18 7:15,5.830000401,OK,10/15/18 7:15,5280,OK,10/15/18 7:15,225124.6563,OK,10/15/18 7:15,4.258054733,OK,10/15/18 7:15,292874.8125,OK,10/15/18 7:15,3.283848145,OK,10/15/18 7:15,180.8411713,OK,10/15/18 7:15,550.1322632,OK,
