Point,Description,ExtendedID
OSU_RTS.MDBUS_CC.246_4HGT,RPAC CALC CW HEAT GRAND,246_4HGT
OSU_RTS.MDBUS_CC.246_C4HF,RPAC CALC CW HEAT FLOW,246_C4HF
OSU_RTS.MDBUS_CC.246_C4HT,RPAC CALC CW HEAT CONS,246_C4HT
OSU_RTS.MDBUS_CC.246_C4MF,RPAC CALC CW MASS FLOW,246_C4MF
OSU_RTS.MDBUS_CC.246_C4MT,RPAC CALC CW MASS TOTAL,246_C4MT
OSU_RTS.MDBUS_CC.246_C4VF,RPAC CALC CW VOL FLOW,246_C4VF
OSU_RTS.MDBUS_CC.246_M1HT,RPAC M1 MONTHLY HEAT TOT,
OSU_RTS.MDBUS_CC.246_P1HT,RPAC M1 PREV HEAT TOTAL,
OSU_RTS.MDBUS_E1.246E_S1,RPAC Solar panels tot re,
OSU_RTS.MDBUS_E1.246E1_C,RPAC MSB1,
OSU_RTS.MDBUS_E1.246E2_C,RPAC MSB2,
OSU_RTS.MDBUS_G1.246_GBV1,RPAC G01 BATTERY VOLTS,246_GBV1
OSU_RTS.MDBUS_G1.246_GBV2,RPAC G02 BATTERY VOLTS,246_GBV2
OSU_RTS.MDBUS_G1.246_GCV1,RPAC 01 CORRECT VOL,246_GCV1
OSU_RTS.MDBUS_G1.246_GCV2,RPAC G02 CORRECTED VOL,246_GCV2
OSU_RTS.MDBUS_G1.246_GUV1,RPAC G01 UNCORRECT. VOL.,246_GUV1
OSU_RTS.MDBUS_G1.246_GUV2,RPAC G02 UNCORRECT. VOL.,246_GUV2
OSU_RTS.MDBUS_H1.246_15DT,PAES HW DELTA T,246_15DT
OSU_RTS.MDBUS_H1.246_15HF,PAES HW HEAT FLOW,246_15HF
OSU_RTS.MDBUS_H1.246_15HT,PAES HW HEAT TOTAL,246_15HT
OSU_RTS.MDBUS_H1.246_15MT,PAES HW MASS TOTAL,246_15MT
OSU_RTS.MDBUS_H1.246_15RT,PAES HW RETURN TEMP,246_15RT
OSU_RTS.MDBUS_H1.246_15ST,PAES HW SUPPLY TEMP,246_15ST
OSU_RTS.MDBUS_H1.246_15VF,PAES HW VOLUME FLOW,246_15VF
OSU_RTS.MDBUS_H1.246_H4DT,RPAC M4 HW DELTA T,
OSU_RTS.MDBUS_H1.246_H4HF,RPAC M4 HW HEAT FLOW,
OSU_RTS.MDBUS_H1.246_H4HT,RPAC M4 HW HEAT TOTAL,
OSU_RTS.MDBUS_H1.246_H4MT,RPAC M4 HW MASS TOTAL,
OSU_RTS.MDBUS_H1.246_H4RT,RPAC M4 HW RETURN TEMP,
OSU_RTS.MDBUS_H1.246_H4ST,RPAC M4 HW SUPPLY TEMP,
OSU_RTS.MDBUS_H1.246_H4VF,RPAC M4 HW VOLUME FLOW,
OSU_RTS.MDBUS_H1.246_H5DT,RPAC M5 HW DELTA T,
OSU_RTS.MDBUS_H1.246_H5HF,RPAC M5 HW HEAT FLOW,
OSU_RTS.MDBUS_H1.246_H5HT,RPAC M5 HW HEAT TOTAL,
OSU_RTS.MDBUS_H1.246_H5MT,RPAC M5 HW MASS TOTAL,
OSU_RTS.MDBUS_H1.246_H5RT,RPAC M5 HW RETURN TEMP,
OSU_RTS.MDBUS_H1.246_H5ST,RPAC M5 HW SUPPLY TEMP,
OSU_RTS.MDBUS_H1.246_H5VF,RPAC M5 HW VOLUME FLOW,
OSU_RTS.MDBUS_H1.246_H6DT,RPAC M6 HW DELTA T,
OSU_RTS.MDBUS_H1.246_H6HF,RPAC M6 HW HEAT FLOW,
OSU_RTS.MDBUS_H1.246_H6HT,RPAC M6 HW HEAT TOTAL,
OSU_RTS.MDBUS_H1.246_H6MT,RPAC M6 HW MASS TOTAL,
OSU_RTS.MDBUS_H1.246_H6RT,RPAC M6 HW RETURN TEMP,
OSU_RTS.MDBUS_H1.246_H6ST,RPAC M6 HW SUPPLY TEMP,
OSU_RTS.MDBUS_H1.246_H6VF,RPAC M6 HW VOLUME FLOW,
OSU_RTS.MDBUS_RP.246_M1,M1 CHW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M10,M10 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M11,M11 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M12,M12 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M15,M15 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M2,M2 CHW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M3,M3 CHW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M4,M4 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M5,M5 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M6,M6 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M7,M7 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M8,M8 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246_M9,M9 HW FROM ION 7550,
OSU_RTS.MDBUS_RP.246E1_C,RPAC MSB1,
OSU_RTS.MDBUS_RP.246E2_C,RPAC MSB2,
OSU_RTS.MDBUS_RT.246S_C,RPAC STEAM CONS,
OSU_RTS.MDBUS_RT.246S_DP,RPAC STEAM DP,
OSU_RTS.MDBUS_RT.246S_HF,RPAC STM HEAT FLOW,246S_HF
OSU_RTS.MDBUS_RT.246S_HGT,RPAC STM HEAT GRAND,246S_HGT
OSU_RTS.MDBUS_RT.246S_HT,RPAC HEAT TOTAL,246S_HT
OSU_RTS.MDBUS_RT.246S_I,RPAC STEAM FLOW,
OSU_RTS.MDBUS_RT.246S_P,RPAC STEAM PRES,
OSU_RTS.MDBUS_RT.246S_T,RPAC STEAM TEMP,
